"Sol","LocalTime","DecimalSol","Temperature","Temperature","Temperature"
3,20:41:09,3.838844,-58.4,-58.7,-59.2
3,21:10:10,3.858456,-60.1,-60.3,-60.8
3,21:39:11,3.878068,-60.2,-61.1,-62.4
3,22:08:12,3.897678,-60.8,-61.6,-62.9
3,22:37:13,3.917290,-63.9,-64.5,-65.8
3,23:06:14,3.936901,-65.1,-65.5,-66.6
3,23:35:15,3.956512,-66.3,-67.1,-68.2
3,24:04:16,3.976124,-68.7,-69.3,-70.7
3,24:33:17,3.995735,-65.5,-66.2,-70.2
4,00:22:42,4.015346,-66.0,-66.5,-71.2
4,00:51:43,4.034958,-67.5,-68.0,-72.6
4,01:20:44,4.054569,-67.4,-67.9,-70.6
4,01:49:45,4.074180,-69.1,-69.5,-71.5
4,02:18:46,4.093792,-71.2,-71.7,-73.5
4,02:47:47,4.113403,-71.1,-71.5,-73.0
4,03:16:48,4.133014,-72.6,-73.2,-74.5
4,03:45:49,4.152626,-72.5,-72.8,-74.7
4,04:14:50,4.172237,-73.9,-73.9,-74.4
4,05:12:52,4.211460,-73.5,-74.1,-75.2
4,05:41:53,4.231071,-74.8,-75.4,-76.6
4,06:10:55,4.250684,-71.7,-72.0,-73.0
4,06:39:55,4.270294,-64.6,-65.5,-65.7
4,07:08:56,4.289895,-61.8,-61.7,-60.7
4,07:37:56,4.309505,-52.9,-53.4,-53.0
4,09:08:17,4.370569,-43.7,-41.9,-39.5
4,09:33:58,4.387928,-39.3,-36.8,-34.5
4,10:31:59,4.427139,-33.3,-30.2,-27.3
4,11:00:59,4.446739,-32.6,-29.3,-26.0
4,11:29:44,4.466170,-30.9,-27.2,-23.8
4,13:00:17,4.527370,-23.6,-19.8,-15.9
4,13:25:45,4.544582,-20.3,-16.2,-12.4
4,13:54:46,4.564193,-16.1,-12.1,-8.7
4,14:23:46,4.583793,-14.6,-11.1,-7.8
4,14:52:47,4.603404,-15.7,-13.8,-10.2
4,15:21:47,4.623004,-15.5,-14.4,-11.0
4,15:50:48,4.642616,-15.7,-13.7,-10.5
4,16:19:48,4.662216,-20.6,-18.9,-16.2
4,16:48:48,4.681816,-21.5,-20.5,-18.2
4,17:17:49,4.701427,-26.4,-26.1,-24.5
4,17:46:50,4.721039,-31.7,-31.3,-30.1
4,18:15:51,4.740650,-39.4,-39.4,-39.0
4,18:44:52,4.760261,-45.1,-45.2,-45.8
4,19:17:26,4.782272,-49.0,-49.6,-50.5
4,19:42:54,4.799484,-50.2,-50.5,-51.3
4,20:11:55,4.819095,-54.5,-55.0,-55.6
4,20:40:56,4.838706,-57.9,-58.1,-58.6
4,21:09:57,4.858318,-59.2,-59.8,-60.7
4,21:38:58,4.877929,-63.4,-63.6,-64.7
4,22:07:59,4.897540,-62.9,-63.6,-65.3
4,22:37:00,4.917152,-60.9,-61.6,-63.0
4,23:06:01,4.936763,-63.6,-64.0,-65.3
4,23:38:32,4.958740,-63.2,-63.9,-64.9
4,24:04:03,4.975986,-68.8,-69.5,-71.2
4,24:33:03,4.995586,-67.5,-68.3,-69.4
5,00:22:29,5.015197,-66.2,-66.9,-72.4
5,00:51:30,5.034808,-66.9,-67.5,-71.3
5,01:20:31,5.054420,-68.6,-69.0,-72.0
5,01:53:01,5.076385,-70.4,-70.7,-72.4
5,02:18:33,5.093642,-69.2,-69.7,-72.4
5,02:47:34,5.113254,-69.3,-69.8,-73.2
5,03:16:35,5.132865,-69.6,-70.2,-74.1
5,03:45:36,5.152476,-70.4,-70.9,-74.5
5,04:14:37,5.172088,-71.5,-71.7,-74.1
5,04:47:07,5.194053,-73.3,-73.5,-74.3
5,05:12:39,5.211310,-74.0,-74.2,-75.0
5,05:41:40,5.230922,-74.5,-75.0,-76.2
5,06:10:41,5.250533,-70.8,-70.8,-71.1
5,06:39:42,5.270144,-68.2,-67.8,-67.2
5,07:08:43,5.289756,-64.3,-63.6,-61.6
5,07:37:44,5.309367,-59.2,-58.2,-53.7
5,08:06:45,5.328978,-54.1,-53.2,-49.1
5,08:35:46,5.348590,-50.1,-48.0,-45.3
5,09:04:47,5.368201,-44.5,-42.9,-39.8
5,09:33:48,5.387812,-40.1,-37.7,-35.0
5,10:02:49,5.407424,-40.3,-38.3,-32.3
5,10:31:50,5.427035,-35.3,-32.2,-27.7
5,11:00:51,5.446646,-32.3,-29.7,-22.4
5,11:29:36,5.466077,-30.7,-27.2,-23.7
5,11:58:36,5.485677,-28.9,-25.2,-21.1
5,12:27:37,5.505289,-20.2,-15.6,-12.4
5,12:56:37,5.524889,-21.7,-18.0,-15.0
5,13:25:38,5.544500,-21.7,-17.9,-15.0
5,13:54:38,5.564100,-18.7,-14.7,-11.4
5,14:23:39,5.583713,-20.5,-17.6,-13.5
5,14:52:39,5.603311,-17.7,-14.8,-12.0
5,15:21:39,5.622912,-17.1,-16.4,-12.9
5,15:50:40,5.642523,-17.5,-15.5,-12.6
5,16:19:40,5.662123,-20.4,-19.9,-17.1
5,16:48:41,5.681734,-21.7,-21.4,-19.1
5,17:17:42,5.701346,-26.1,-25.9,-24.3
5,17:46:43,5.720957,-31.5,-31.4,-30.5
5,18:15:44,5.740568,-38.9,-39.3,-39.3
5,18:44:45,5.760179,-44.4,-44.7,-45.4
5,19:13:46,5.779791,-48.2,-48.3,-49.1
5,19:42:47,5.799402,-51.2,-51.5,-52.4
5,20:11:48,5.819013,-54.0,-54.3,-55.1
5,20:40:49,5.838625,-58.4,-58.3,-59.6
5,21:09:50,5.858236,-59.4,-59.6,-60.3
5,21:38:51,5.877847,-63.3,-63.4,-64.5
5,22:07:52,5.897459,-63.7,-63.5,-64.4
5,22:36:53,5.917070,-63.4,-64.1,-65.2
5,23:05:54,5.936681,-64.6,-65.6,-66.8
5,23:34:55,5.956293,-63.0,-63.5,-65.0
5,24:03:56,5.975904,-67.1,-67.9,-69.3
5,24:32:57,5.995515,-65.1,-65.9,-68.7
6,00:22:23,6.015127,-66.8,-67.2,-69.2
6,00:51:24,6.034738,-65.3,-65.9,-71.3
6,01:20:25,6.054349,-67.4,-67.9,-69.8
6,01:49:26,6.073961,-68.5,-69.0,-71.5
6,02:18:27,6.093572,-68.8,-69.2,-71.3
6,02:47:28,6.113183,-69.9,-70.2,-75.5
6,03:16:29,6.132795,-70.4,-70.8,-73.7
6,03:45:30,6.152406,-72.5,-72.6,-73.4
6,04:14:31,6.172017,-73.9,-74.3,-76.8
6,04:43:32,6.191629,-75.0,-75.6,-77.2
6,05:12:33,6.211240,-73.5,-73.8,-74.8
6,05:41:34,6.230851,-73.7,-73.8,-75.1
6,06:10:35,6.250463,-69.9,-70.0,-71.2
6,06:39:36,6.270074,-67.6,-67.2,-66.9
6,07:14:01,6.293335,-62.3,-61.5,-59.7
6,07:37:38,6.309297,-58.5,-57.6,-54.3
6,08:10:32,6.331532,-53.4,-52.2,-48.0
6,08:35:40,6.348519,-50.4,-48.6,-44.9
6,09:17:19,6.376669,-43.9,-41.6,-38.6
6,09:33:42,6.387742,-42.5,-40.3,-34.5
6,10:02:43,6.407353,-37.9,-34.9,-31.9
6,10:31:44,6.426964,-34.8,-32.0,-27.9
6,11:00:45,6.446576,-31.9,-28.9,-25.7
6,11:29:31,6.466018,-30.2,-27.0,-23.1
6,11:58:31,6.485618,-28.0,-24.5,-20.0
6,12:27:33,6.505241,-27.1,-23.7,-19.6
6,12:56:32,6.524830,-20.4,-16.1,-12.7
6,13:54:33,6.564041,-24.2,-20.6,-17.5
6,14:25:26,6.584915,-15.2,-12.8,-9.5
6,15:06:40,6.612782,-13.7,-11.6,-8.4
6,15:21:35,6.622864,-17.4,-15.8,-12.2
6,15:58:02,6.647499,-17.9,-16.3,-13.8
6,16:19:35,6.662064,-18.1,-17.3,-14.5
6,16:49:25,6.682231,-21.1,-21.1,-18.7
6,17:17:36,6.701275,-25.5,-24.9,-23.1
6,17:46:37,6.720886,-31.5,-31.3,-30.2
6,18:15:38,6.740498,-39.0,-38.9,-38.6
6,18:44:39,6.760109,-46.2,-46.0,-46.4
6,19:13:40,6.779722,-49.4,-49.4,-50.1
6,19:42:41,6.799336,-51.8,-52.4,-53.5
6,20:11:42,6.818943,-55.3,-56.1,-57.0
6,20:40:43,6.838554,-57.0,-57.6,-58.6
6,21:09:44,6.858166,-61.4,-62.1,-63.3
6,21:38:45,6.877777,-63.0,-63.1,-64.5
6,22:07:46,6.897390,-61.8,-62.5,-63.7
6,22:36:47,6.917000,-62.8,-63.3,-64.1
6,23:05:47,6.936600,-64.1,-64.6,-65.7
6,23:34:47,6.956200,-65.0,-65.4,-66.8
6,24:03:48,6.975811,-65.6,-66.1,-68.4
6,24:32:49,6.995422,-66.1,-66.6,-70.4
7,00:22:15,7.015034,-67.0,-67.4,-71.5
7,00:51:16,7.034645,-68.7,-69.2,-72.8
7,01:20:17,7.054256,-67.1,-67.8,-70.3
7,01:49:18,7.073868,-68.4,-68.9,-72.1
7,02:18:19,7.093479,-70.1,-70.3,-72.2
7,02:47:20,7.113090,-70.6,-71.0,-73.5
7,03:16:21,7.132702,-69.2,-69.6,-74.9
7,03:45:22,7.152313,-69.6,-70.1,-74.7
7,04:14:23,7.171924,-71.2,-71.7,-76.6
7,04:43:24,7.191536,-73.4,-73.5,-74.4
7,05:12:25,7.211147,-72.1,-72.4,-77.9
7,05:41:26,7.230758,-72.7,-73.8,-75.3
7,06:10:27,7.250370,-71.7,-71.9,-73.0
7,06:39:28,7.269981,-68.8,-68.4,-68.1
7,07:08:29,7.289592,-64.8,-63.8,-63.2
7,07:37:30,7.309204,-60.8,-59.6,-58.0
7,08:06:31,7.328815,-55.4,-54.0,-51.9
7,08:35:32,7.348426,-50.6,-48.8,-44.6
7,09:04:33,7.368038,-43.4,-41.6,-38.6
7,09:33:34,7.387649,-41.7,-40.1,-34.5

